127.0.0.1, 2018-06-28 13:46:42, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2018-06-28 13:46:44, GET, /welcome/default/index, HTTP/1.1, 200, 1.794000
127.0.0.1, 2018-06-28 13:46:45, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-06-28 13:46:45, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-06-28 13:46:45, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-06-28 13:46:45, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.016000
127.0.0.1, 2018-06-28 13:46:45, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.016000
127.0.0.1, 2018-06-28 13:46:45, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.016000
127.0.0.1, 2018-06-28 13:46:45, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.016000
127.0.0.1, 2018-06-28 13:46:45, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.031000
127.0.0.1, 2018-06-28 13:46:45, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.031000
127.0.0.1, 2018-06-28 13:46:45, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-06-28 13:46:46, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-06-28 13:46:46, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-06-28 13:46:46, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-06-28 13:47:01, GET, /admin/default/index, HTTP/1.1, 200, 0.421000
127.0.0.1, 2018-06-28 13:47:01, GET, /admin/static/_2.16.1/js/jquery.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-06-28 13:47:01, GET, /admin/static/_2.16.1/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-06-28 13:47:01, GET, /admin/static/_2.16.1/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-06-28 13:47:01, GET, /admin/static/_2.16.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.004000
